Sensor 0,Sensor 1,Sensor 2,Sensor 3,Time
6,-2,-3,-2,0.002510071
10,-1,-2,-1,0.003229141
15,-2,-2,-1,0.003895998
22,-1,-2,-2,0.004572153
29,-1,-2,-2,0.005080223
36,-1,-2,-1,0.005550146
42,-1,-2,-1,0.006015062
44,-1,-2,-1,0.006480217
43,-1,-2,-1,0.006946087
37,-1,-2,-1,0.007411242
22,-1,-2,-2,0.007823229
6,-1,-2,-2,0.006007195
24,-1,-2,-1,0.006724119
39,-2,-2,-2,0.007421255
49,-1,-2,-1,0.008095026
55,-1,-2,-1,0.008607149
59,-1,-2,-1,0.009079218
61,-1,-2,-2,0.009550095
63,-1,-2,-1,0.01001811
61,-1,-2,-2,0.01048708
54,-2,-2,-1,0.010954142
38,-1,-2,-1,0.011381149
15,-1,-2,-1,0.011742353
6,-1,-3,-1,0.006009817
16,-1,-2,-1,0.006706953
22,-1,-2,-1,0.007374763
25,-1,-2,-1,0.008037806
28,-1,-2,-1,0.008574009
32,-1,-2,-1,0.009038925
37,-2,-2,-1,0.009497881
45,-1,-2,-1,0.009958029
53,-1,-2,-1,0.010418892
60,-1,-2,-2,0.01087904
69,-1,-2,-1,0.011319876
77,-1,-2,-2,0.011681795
82,-1,-2,-2,0.012042999
83,-2,-2,-1,0.012406111
82,-1,-2,-1,0.012765884
75,-1,-2,-1,0.013125896
59,-1,-2,-1,0.013489962
29,-1,-2,-1,0.013847828
6,-1,-2,-2,0.005528927
23,-1,-2,-1,0.006245136
37,-1,-2,-1,0.006933928
49,-1,-2,-1,0.007633209
58,-1,-2,-1,0.008106947
67,-1,-2,-1,0.008578062
77,-1,-2,-1,0.009057999
89,-1,-2,-1,0.009530067
97,-1,-2,-1,0.010001183
101,-1,-2,-1,0.01048708
99,-1,-2,-2,0.010923862
87,-1,-2,-2,0.011286974
64,-1,-2,-1,0.01164794
21,-2,-3,-2,0.012008905
6,-1,-2,-1,0.005288124
22,-1,-2,-2,0.005999088
35,-1,-2,-1,0.006676912
46,-1,-2,-2,0.007354021
58,-1,-2,-1,0.007866144
72,-1,-2,-1,0.008338213
85,-1,-2,-1,0.008808136
98,-1,-2,-1,0.009276152
108,-1,-2,-1,0.009763956
117,-1,-2,-2,0.010249853
123,-1,-2,-1,0.01068306
122,-1,-2,-2,0.011057138
113,-1,-2,-1,0.011429071
