Sensor 0,Sensor 1,Sensor 2,Sensor 3,Time,,action,Length
6,0,-2,-3,0.002315998,,0,55
6,0,-3,-2,0.003316402,,0,55
6,0,-3,-3,0.004406929,,0,55
6,0,-3,-2,0.004406929,,0,55
7,1,-3,-3,0.005437136,,0,55
8,1,-3,-2,0.006404638,,0,55
9,1,-2,-2,0.006404638,,0,55
8,1,-3,-2,0.007431746,,0,55
9,1,-3,-2,0.008405209,,0,55
11,1,-4,-3,0.008405209,,0,55
11,1,-3,-2,0.009425879,,0,55
12,1,-2,-2,0.011392832,,0,55
13,1,-3,-2,0.011392832,,0,55
15,1,-4,-2,0.012389421,,0,55
14,2,-4,-3,0.013411283,,0,55
16,1,-2,-2,0.013411283,,0,55
16,2,-4,-1,0.014384031,,0,55
18,1,-3,-3,0.015406609,,0,55
19,2,-4,-2,0.016403675,,0,55
20,2,-4,-2,0.016403675,,0,55
21,2,-3,-2,0.017945051,,0,55
23,1,-3,-3,0.017945051,,0,55
25,1,-3,-2,0.01894784,,0,55
26,2,-4,-1,0.020970821,,0,55
27,3,-4,-2,0.020970821,,0,55
30,2,-4,-2,0.021937132,,0,55
32,3,-4,-2,0.022934675,,0,55
33,3,-3,-1,0.024044037,,0,55
35,2,-4,-1,0.024717331,,0,55
36,2,-4,-1,0.025382042,,0,55
39,3,-4,-2,0.026049137,,0,55
41,3,-4,-1,0.026719332,,0,55
43,3,-4,-2,0.027391911,,0,55
44,3,-4,-2,0.028059721,,0,55
46,3,-3,-1,0.028059721,,0,55
46,2,-4,-2,0.02905941,,0,55
46,2,-4,-2,0.02905941,,0,55
47,3,-4,-2,0.031084061,,0,55
46,3,-4,-2,0.031084061,,0,55
43,2,-4,-2,0.032051802,,0,55
42,3,-4,-2,0.033048868,,0,55
40,2,-3,0,0.033048868,,0,55
39,2,-3,-2,0.034678459,,0,55
35,2,-4,-2,0.034678459,,0,55
33,2,-4,-2,0.03567791,,0,55
30,1,-3,-2,0.036899328,,0,55
27,2,-3,-3,0.036899328,,0,55
23,3,-3,-2,0.037899017,,0,55
20,2,-4,-2,0.038907051,,0,55
16,2,-3,-2,0.038907051,,0,55
12,2,-4,-2,0.040915251,,0,55
10,1,-3,-2,0.041887999,,0,55
7,1,-4,-2,0.04288578,,0,55
7,1,-3,-3,0.04288578,,0,55
6,1,-2,-2,0.044268131,,0,55
6,1,-2,-1,0.002710342,,0,56
6,1,-3,-2,0.003707647,,0,56
7,1,-3,-3,0.003707647,,0,56
7,2,-3,-2,0.004705667,,0,56
9,1,-3,-2,0.005702257,,0,56
9,1,-3,-2,0.005702257,,0,56
11,1,-4,-2,0.0066998,,0,56
13,2,-3,-2,0.007697105,,0,56
16,1,-4,-3,0.007697105,,0,56
17,2,-4,-2,0.00869441,,0,56
19,2,-3,-2,0.009691954,,0,56
21,2,-4,-3,0.009691954,,0,56
23,2,-4,-1,0.011688471,,0,56
26,2,-4,-3,0.012683868,,0,56
28,2,-4,-3,0.012683868,,0,56
32,2,-4,-1,0.013680935,,0,56
35,1,-4,-2,0.014679432,,0,56
38,2,-4,-2,0.014679432,,0,56
42,2,-5,-2,0.015676022,,0,56
47,3,-4,-3,0.016673088,,0,56
51,3,-4,-2,0.016673088,,0,56
54,3,-4,-1,0.017670631,,0,56
57,3,-5,-2,0.018668413,,0,56
61,3,-4,-2,0.019673109,,0,56
64,3,-4,-3,0.019673109,,0,56
67,4,-4,-2,0.021689653,,0,56
71,3,-4,-2,0.02265811,,0,56
74,3,-5,-2,0.02265811,,0,56
78,3,-4,-2,0.023654699,,0,56
80,3,-5,-2,0.024652958,,0,56
83,4,-4,-2,0.024652958,,0,56
85,3,-4,-1,0.025649071,,0,56
87,4,-4,-1,0.026646614,,0,56
88,3,-5,-1,0.026646614,,0,56
89,3,-5,-2,0.027643681,,0,56
91,3,-4,-1,0.028641462,,0,56
90,3,-3,-3,0.028641462,,0,56
91,3,-4,-3,0.029638767,,0,56
92,3,-5,-1,0.035622597,,0,56
93,3,-5,-2,0.036619663,,0,56
92,3,-4,-2,0.036619663,,0,56
92,4,-4,-2,0.03761673,,0,56
92,4,-4,-2,0.038614035,,0,56
91,3,-4,-1,0.038614035,,0,56
89,4,-4,-2,0.039611578,,0,56
85,4,-4,-3,0.040609121,,0,56
80,3,-4,-3,0.040609121,,0,56
73,3,-4,-2,0.041605949,,0,56
63,4,-4,-2,0.042603254,,0,56
50,3,-3,-3,0.043601036,,0,56
35,2,-4,-1,0.043601036,,0,56
25,2,-4,-2,0.045626402,,0,56
18,2,-4,-3,0.046622992,,0,56
9,1,-3,-2,0.046622992,,0,56
7,1,-4,-3,0.047591209,,0,56
6,1,-4,-2,0.048587322,,0,56
6,0,-3,-3,0.00234437,,0,57
6,2,-3,-2,0.00332737,,0,57
7,2,-4,-1,0.004324675,,0,57
8,1,-4,-3,0.005334139,,0,57
11,2,-3,-2,0.005334139,,0,57
12,2,-4,-1,0.006320477,,0,57
16,2,-4,-2,0.007317781,,0,57
19,2,-4,-2,0.008274794,,0,57
24,2,-4,-1,0.008965492,,0,57
28,4,-3,-2,0.008965492,,0,57
33,3,-4,-1,0.009965181,,0,57
39,2,-3,-2,0.011959791,,0,57
43,3,-4,-2,0.011959791,,0,57
47,3,-4,-2,0.012957573,,0,57
53,3,-4,-2,0.013954401,,0,57
57,3,-4,-1,0.014952421,,0,57
61,3,-4,-2,0.014952421,,0,57
66,4,-5,-2,0.01633358,,0,57
69,3,-4,0,0.017008543,,0,57
73,3,-5,-1,0.017703772,,0,57
78,4,-5,-2,0.018398523,,0,57
82,4,-4,-1,0.018398523,,0,57
86,3,-4,-1,0.019398689,,0,57
90,3,-5,-1,0.020395994,,0,57
94,4,-5,-2,0.02139473,,0,57
98,4,-4,-2,0.022772312,,0,57
102,4,-4,-2,0.023460388,,0,57
107,4,-5,-1,0.024143696,,0,57
112,4,-4,-2,0.024143696,,0,57
117,4,-4,-2,0.025143385,,0,57
121,4,-5,-1,0.026141405,,0,57
126,5,-5,-2,0.026141405,,0,57
131,4,-4,-2,0.027137756,,0,57
135,3,-4,-2,0.028135538,,0,57
138,4,-4,-2,0.029132605,,0,57
142,5,-5,-2,0.029132605,,0,57
144,4,-4,-2,0.031150579,,0,57
146,4,-4,-2,0.032125473,,0,57
147,4,-4,-1,0.032125473,,0,57
147,3,-4,-2,0.033122063,,0,57
145,4,-4,-1,0.034352541,,0,57
143,4,-4,-2,0.03511405,,0,57
139,4,-4,-2,0.03511405,,0,57
136,5,-5,-3,0.036114216,,0,57
132,5,-4,-1,0.037111282,,0,57
127,4,-4,-2,0.037111282,,0,57
120,3,-5,-1,0.038108587,,0,57
111,4,-4,-1,0.039106131,,0,57
101,3,-4,-1,0.041124582,,0,57
91,3,-4,-2,0.041124582,,0,57
76,4,-4,-2,0.042097569,,0,57
60,3,-3,-1,0.043094873,,0,57
46,2,-4,-2,0.043094873,,0,57
30,2,-4,-1,0.044092417,,0,57
13,2,-4,-2,0.045346975,,0,57
9,2,-3,-3,0.045346975,,0,57
7,1,-3,-2,0.046346903,,0,57
6,2,-4,-2,0.00238657,,0,53
7,1,-4,-3,0.003384113,,0,53
7,1,-4,-2,0.003384113,,0,53
10,1,-4,-3,0.004381418,,0,53
12,2,-4,-3,0.005409479,,0,53
14,1,-4,-2,0.005409479,,0,53
18,2,-4,-2,0.00640583,,0,53
23,3,-4,-2,0.007403374,,0,53
25,2,-4,-1,0.008404493,,0,53
29,2,-4,-1,0.008404493,,0,53
32,2,-4,-1,0.00940156,,0,53
36,3,-4,-2,0.010365486,,0,53
38,3,-5,-1,0.011363506,,0,53
40,3,-5,-2,0.012390852,,0,53
42,2,-4,-1,0.012390852,,0,53
44,3,-5,-2,0.013388872,,0,53
47,3,-4,-2,0.014387846,,0,53
49,3,-4,-2,0.014387846,,0,53
51,3,-4,0,0.015383244,,0,53
53,3,-5,-2,0.016376734,,0,53
55,3,-5,-2,0.016376734,,0,53
57,4,-5,-1,0.017376661,,0,53
60,3,-4,-2,0.018344164,,0,53
64,3,-4,-2,0.018344164,,0,53
66,4,-5,-2,0.019372225,,0,53
69,4,-5,-1,0.02136898,,0,53
71,3,-5,-2,0.022363663,,0,53
73,3,-5,-1,0.022363663,,0,53
74,3,-4,-2,0.023360491,,0,53
76,5,-4,-2,0.024358273,,0,53
76,4,-5,-1,0.024358273,,0,53
78,3,-5,-2,0.025354862,,0,53
78,4,-5,-2,0.026356459,,0,53
78,4,-5,-2,0.027321339,,0,53
78,4,-5,-1,0.027321339,,0,53
77,3,-4,-1,0.028348684,,0,53
76,4,-5,-2,0.029350042,,0,53
75,3,-4,-2,0.031312704,,0,53
72,4,-4,-1,0.032307148,,0,53
68,3,-5,-1,0.033334255,,0,53
65,3,-5,-2,0.033334255,,0,53
61,3,-5,-2,0.03433156,,0,53
55,4,-4,-1,0.035331726,,0,53
49,3,-4,-2,0.035331726,,0,53
41,4,-3,-2,0.036326647,,0,53
32,2,-5,-2,0.037324667,,0,53
25,3,-3,-1,0.037324667,,0,53
15,2,-5,-2,0.038312435,,0,53
11,2,-3,-3,0.039318562,,0,53
8,2,-4,-3,0.039318562,,0,53
6,1,-3,-1,0.041312695,,0,53
6,1,-3,-2,0.041312695,,0,53
6,1,-4,-3,0.042309761,,0,53
6,0,-3,-2,0.003387928,,0,64
6,0,-3,-2,0.004387617,,0,64
7,1,-3,-2,0.006384134,,0,64
9,0,-4,-2,0.007376432,,0,64
11,1,-3,-2,0.008342028,,0,64
12,1,-3,-2,0.008342028,,0,64
14,2,-3,-2,0.009341478,,0,64
17,2,-4,-2,0.010360241,,0,64
21,2,-5,-2,0.010360241,,0,64
25,3,-4,-2,0.012332201,,0,64
