Sensor 0,Sensor 1,Sensor 2,Sensor 3,Time
6,-1,-3,-1,0.002280951
7,0,-4,-1,0.003278255
9,0,-4,-1,0.004275799
13,1,-4,1,0.005274057
18,0,-4,0,0.005274057
26,1,-5,-1,0.006271362
37,2,-5,1,0.007268429
51,2,-4,0,0.007268429
67,1,-4,0,0.008265734
85,3,-5,0,0.009292603
106,1,-4,1,0.009292603
127,2,-5,0,0.01125741
149,2,-5,0,0.01125741
171,2,-4,0,0.012255907
192,3,-5,1,0.013282299
211,2,-4,0,0.014249325
229,2,-5,1,0.014249325
246,2,-5,0,0.015276432
259,2,-4,1,0.016244411
272,2,-5,0,0.016244411
284,2,-5,0,0.017241955
294,2,-5,0,0.018239737
304,3,-4,0,0.019237518
313,3,-5,0,0.019237518
320,2,-4,-1,0.022230148
328,2,-5,0,0.023226738
336,3,-5,0,0.023226738
343,3,-5,1,0.024252653
350,3,-5,0,0.025251389
356,3,-5,2,0.025251389
361,2,-5,0,0.026228666
365,3,-5,0,0.027246714
368,2,-5,1,0.028239489
370,2,-5,0,0.028239489
368,3,-4,0,0.029239416
365,2,-4,1,0.030236483
358,2,-5,-1,0.030236483
348,2,-5,0,0.032202482
335,2,-5,1,0.033199072
319,2,-4,0,0.034196138
300,3,-5,1,0.034196138
269,2,-5,1,0.035193682
227,3,-4,1,0.03619051
179,3,-4,1,0.037202358
122,1,-5,0,0.038187504
63,2,-5,0,0.038187504
24,1,-4,-1,0.039212465
9,1,-4,-1,0.040210247
6,0,-3,-1,0.002527475
6,1,-3,0,0.003553867
9,1,-4,0,0.003553867
13,2,-4,0,0.00452137
21,2,-4,0,0.005548239
34,1,-4,0,0.006429911
53,2,-5,-1,0.007117748
75,3,-4,1,0.00778389
101,2,-5,1,0.008472443
129,2,-5,0,0.009161949
155,2,-5,1,0.009161949
181,2,-4,1,0.010161877
206,2,-4,0,0.012187243
229,3,-4,1,0.013154745
251,2,-4,1,0.013154745
269,2,-4,0,0.014550447
286,2,-5,0,0.014550447
302,3,-5,1,0.015535593
319,3,-5,1,0.016535282
335,3,-5,0,0.016535282
352,3,-5,1,0.017533302
370,3,-5,1,0.01854372
387,2,-5,1,0.019527912
404,3,-5,2,0.020526171
419,3,-5,0,0.021552563
434,3,-4,0,0.021552563
445,3,-5,0,0.022520304
456,3,-6,0,0.023551226
466,3,-5,1,0.02458334
475,3,-5,1,0.025272608
484,3,-5,0,0.025961399
491,3,-5,1,0.026655436
497,3,-5,1,0.027344942
503,3,-5,1,0.028031588
509,3,-5,1,0.028031588
513,3,-5,1,0.029031038
517,3,-5,0,0.031026363
519,2,-5,1,0.032052517
519,3,-5,0,0.032052517
517,3,-5,0,0.03302145
513,2,-4,0,0.034047604
508,3,-5,0,0.035030127
498,2,-5,1,0.036099672
485,3,-5,0,0.03678894
469,3,-5,0,0.037476063
445,4,-5,0,0.038167715
412,3,-5,2,0.038167715
363,3,-4,0,0.039167404
293,2,-5,0,0.040179491
196,2,-4,0,0.041208744
85,1,-5,0,0.041208744
13,2,-4,0,0.042177439
6,1,-4,0,0.043203831
6,1,-3,0,0.002743006
7,2,-3,-1,0.003740788
8,1,-3,0,0.004766464
13,2,-4,0,0.004766464
20,2,-4,0,0.005761147
31,2,-4,0,0.006760836
50,3,-5,0,0.006760836
73,2,-4,0,0.0077672
101,3,-4,0,0.008755922
132,3,-5,0,0.00975275
164,2,-4,1,0.00975275
193,3,-5,0,0.011718035
220,3,-4,0,0.011718035
245,2,-5,0,0.01274538
268,4,-4,1,0.013740778
289,4,-4,0,0.014739752
309,3,-5,1,0.014739752
328,3,-5,1,0.015743017
346,3,-4,0,0.016705513
363,3,-4,0,0.017702579
381,4,-5,0,0.017702579
397,4,-5,1,0.018700123
413,3,-5,0,0.019697905
426,3,-5,1,0.021700382
439,4,-4,1,0.022718191
449,3,-5,0,0.023686886
459,4,-5,1,0.023686886
478,4,-4,0,0.024712801
500,3,-4,0,0.025710106
520,4,-4,1,0.025710106
540,4,-5,0,0.026679039
554,5,-5,0,0.027704716
565,4,-5,0,0.027704716
573,4,-5,0,0.02867341
578,4,-5,1,0.029695272
581,5,-5,1,0.030666828
583,4,-5,0,0.031690836
582,4,-5,1,0.032690287
577,4,-4,0,0.033396721
566,4,-4,1,0.033396721
541,5,-5,-1,0.034396648
494,3,-5,0,0.035394192
421,5,-5,1,0.035394192
318,4,-4,0,0.036391258
200,3,-4,1,0.037389278
84,3,-5,0,0.038386583
19,2,-5,1,0.038386583
11,2,-4,0,0.039383411
8,2,-4,0,0.041409016
6,0,-3,0,0.042410851
6,0,-4,-1,0.004438162
6,1,-4,0,0.005726576
10,1,-3,0,0.006895781
15,2,-5,0,0.00827384
28,2,-5,0,0.00827384
50,2,-4,0,0.009273529
74,2,-5,0,0.010272503
104,1,-5,0,0.010272503
134,2,-5,1,0.012290478
165,2,-5,0,0.012290478
193,2,-5,0,0.014096498
219,2,-4,1,0.01478672
243,2,-5,0,0.01478672
266,3,-5,0,0.015786409
288,3,-5,0,0.016784906
308,3,-5,0,0.017469645
326,2,-5,1,0.018152475
344,2,-5,1,0.018152475
363,2,-5,0,0.019151688
380,2,-4,0,0.020149231
396,2,-5,0,0.020149231
411,2,-4,0,0.022143841
423,3,-5,0,0.022143841
431,4,-5,0,0.023142576
439,3,-5,1,0.024138927
446,3,-4,1,0.025167465
449,3,-5,0,0.025167465
448,2,-4,1,0.026163816
454,3,-4,1,0.027165651
463,4,-5,0,0.028129816
471,3,-5,0,0.028129816
477,3,-4,1,0.029128075
482,2,-4,0,0.030153751
483,3,-5,0,0.032422304
482,2,-4,1,0.033147573
480,2,-4,1,0.03387022
474,4,-5,1,0.03387022
462,3,-4,1,0.034869909
439,3,-4,0,0.036017895
392,2,-5,0,0.036731482
311,2,-5,0,0.037443161
194,2,-5,0,0.037443161
57,2,-4,1,0.038443089
13,1,-4,-1,0.039440632
8,1,-4,0,0.039440632
6,0,-3,1,0.04143548
6,0,-2,-1,0.004008055
7,1,-3,0,0.005010605
8,2,-4,-1,0.006994009
11,3,-4,0,0.00796771
16,5,-4,0,0.009993553
24,5,-3,0,0.012782812
36,7,-4,0,0.013786554
54,8,-4,0,0.01550889
80,11,-4,0,0.016802788
111,11,-4,1,0.017804623
142,12,-4,1,0.018802643
175,12,-4,0,0.021827698
207,12,-3,1,0.023787737
235,13,-3,1,0.024785995
261,13,-3,1,0.026819706
285,13,-3,0,0.027778625
306,13,-3,0,0.029773951
325,13,-2,0,0.031797409
344,12,-2,0,0.032799482
362,11,-3,0,0.034758568
379,10,-2,1,0.035758018
396,10,-3,0,0.037751675
412,10,-3,1,0.038750172
429,11,-3,0,0.039745808
445,9,-3,0,0.041741371
462,10,-3,0,0.042772532
476,9,-3,1,0.044338226
490,8,-2,1,0.045356512
505,8,-3,1,0.045356512
518,8,-2,1,0.046356678
532,8,-3,1,0.047353983
544,7,-2,0,0.048351765
556,6,-2,1,0.049349308
569,7,-2,0,0.051373959
580,7,0,1,0.052134514
588,6,1,0,0.052924395
594,6,2,1,0.053642988
597,6,2,0,0.053642988
599,5,1,1,0.054643393
600,6,2,0,0.055639744
600,7,2,0,0.055639744
597,6,3,0,0.056638956
593,6,2,1,0.05763483
585,6,2,1,0.058652163
571,7,1,0,0.060656786
549,6,0,0,0.061448097
520,7,-3,0,0.062142372
482,7,-3,0,0.06282568
426,6,-4,0,0.063514233
348,7,-5,0,0.064208269
249,6,-4,0,0.06489563
154,5,-4,0,0.065585375
65,5,-4,0,0.066255093
28,3,-4,0,0.066255093
11,2,-3,1,0.067254782
9,2,-3,0,0.067254782
6,1,-3,-1,0.068251848
6,-1,-2,-2,0.004197836
6,0,-2,-1,0.005201578
8,2,-3,-1,0.006197929
11,2,-4,-1,0.008191824
18,5,-2,-1,0.009190798
28,10,-2,-1,0.011184216
45,13,-2,0,0.01218462
66,17,0,0,0.014316559
93,19,1,0,0.015320063
123,21,3,0,0.016345978
154,21,4,0,0.017343283
184,20,4,-1,0.019340754
215,21,6,0,0.020335913
244,22,7,-1,0.022950172
270,21,8,0,0.023952961
293,22,7,0,0.024950266
315,21,8,1,0.025948286
336,20,8,0,0.027941704
357,20,8,0,0.028972149
376,18,9,1,0.029937267
396,18,9,0,0.031961679
413,18,9,-1,0.03292799
431,17,9,1,0.03292799
